"id","name","club","nation","league","skills","weakFoot","height","weight","attWR","defWR","acceleRATE","bodyType","position","rating","acceleration","sprintspeed","positioning","finishing","shotpower","longshotsaccuracy","volleys","penalties","vision","crossing","freekickaccuracy","shortpassing","longpassing","curve","agility","balance","reactions","ballcontrol","dribbling","composure","interceptions","headingaccuracy","marking","standingtackle","slidingtackle","jumping","stamina","strength","aggression","likes","dislikes","likesRatio","positionRating"
"26281","Erling Braut Haaland","10","Norway","13","3","3","195","94","3","2","Lengthy","Unique","ST","88","90","99","93","99","98","87","99","84","74","47","62","74","53","77","76","72","88","82","78","85","43","79","44","53","29","74","81","93","85","9056","2696","77.05922396187883","89.80000000000001"
"50551","Zlatan Ibrahimovic","47","Sweden","31","5","4","195","102","2","1","Controlled","Unique","ST","90","86","94","94","98","96","99","93","90","91","78","81","84","79","86","85","82","92","99","92","93","22","95","30","39","25","99","85","99","88","6045","905","86.97841726618705","94.78"
"50604","Kylian Mbappé","73","France","16","5","4","182","73","3","1","Controlled","Unique","ST","97","99","99","99","99","96","90","92","90","99","86","84","99","84","96","99","90","99","97","99","94","46","88","32","42","39","96","99","99","78","6234","2561","70.88118249005116","96.99000000000002"
"53214","Harry Kane","18","England","13","3","5","188","89","3","3","Lengthy","Unique","ST","95","93","95","99","99","99","93","94","99","99","97","72","97","98","99","79","86","99","92","99","99","50","96","56","41","43","89","93","93","90","4330","716","85.81054300435989","96.88000000000001"
"50667","Erling Braut Haaland","10","Norway","13","4","4","195","94","3","2","Lengthy","Unique","ST","96","92","99","94","99","99","92","93","80","91","58","76","91","65","95","84","87","97","94","99","94","57","99","62","80","44","80","88","99","92","4496","1042","81.18454315637415","96.68000000000002"
"50426","Alexandre Lacazette","66","France","16","5","4","175","73","3","3","Controlled","Unique","ST","89","99","96","92","93","96","83","99","95","86","77","84","93","81","84","86","87","87","88","88","85","48","85","44","51","36","88","82","88","87","3584","476","88.27586206896552","91.0"
"53780","Robert Lewandowski","241","Poland","53","4","5","185","81","3","2","Controlled","Unique","ST","97","95","94","99","99","99","99","99","99","88","78","93","91","77","87","85","90","99","96","92","95","61","99","45","57","30","99","85","99","92","3557","528","87.07466340269278","97.4"
"48799","Antoine Griezmann","240","France","53","5","5","176","73","2","2","Explosive","Unique","ST","89","94","95","99","97","93","88","99","94","91","89","91","87","86","92","97","90","92","92","91","96","57","96","50","62","58","99","99","76","86","3584","754","82.6187183033656","93.44000000000001"
"48431","Erling Braut Haaland","10","Norway","13","3","3","195","94","3","2","Lengthy","Unique","ST","91","89","99","92","97","97","90","91","79","85","59","68","85","62","92","86","85","95","88","92","91","46","84","47","56","31","77","84","96","88","3522","721","83.00730615130803","92.44000000000001"
"54043","Manuel Neuer","21","Germany","19","5","4","193","93","3","2","Lengthy","Unique","ST","94","96","99","97","97","98","90","90","99","94","80","68","99","94","93","89","98","94","99","99","94","70","99","55","49","50","99","88","99","99","2981","229","92.86604361370716","97.31000000000002"
"53178","Álvaro Borja Morata Martín","240","Spain","53","3","4","190","84","3","2","Controlled","Unique","ST","88","92","92","94","94","90","82","90","87","88","83","55","90","80","95","85","84","89","89","96","91","31","99","46","27","28","96","87","89","81","209","1086","16.138996138996138","92.27"
"50208","Kylian Mbappé","73","France","16","5","4","182","73","3","1","Controlled","Unique","ST","93","98","98","94","99","94","92","85","86","87","82","73","89","75","84","95","83","99","99","99","90","41","78","28","37","35","89","91","88","68","1762","2452","41.81300427147603","94.12000000000003"
"53849","Mauro Icardi","325","Argentina","68","4","5","181","75","3","2","Controlled","Unique","ST","92","96","96","99","99","99","93","94","99","99","71","78","99","80","99","80","90","96","95","90","99","34","99","56","38","28","99","85","94","82","762","1137","40.12638230647709","96.93"
"27396","Mauro Icardi","325","Argentina","68","3","4","181","75","2","2","Controlled","Unique","ST","77","66","66","88","82","88","78","77","83","72","47","52","75","54","70","61","71","76","75","71","78","24","79","40","27","20","96","62","76","66","114","301","27.469879518072286","78.82000000000001"
"26601","Romelu Lukaku","44","Belgium","31","3","4","191","94","2","1","Lengthy","Unique","ST","86","76","90","86","88","87","75","79","88","79","81","66","82","74","86","63","60","86","78","90","82","27","87","30","41","30","74","67","95","71","457","526","46.490335707019334","85.62"
"52793","Romelu Lukaku","44","Belgium","31","3","4","191","94","2","1","Lengthy","Unique","ST","88","83","97","93","99","94","78","97","99","78","76","69","81","73","81","61","54","89","81","85","85","28","91","32","43","32","76","69","97","73","154","197","43.87464387464387","90.92999999999998"
"50524","Harry Kane","18","England","13","3","5","188","89","3","3","Lengthy","Unique","ST","90","77","79","99","99","97","87","99","99","88","81","66","85","86","83","70","73","94","86","85","94","45","87","51","37","39","80","84","84","81","200","241","45.3514739229025","91.23000000000002"
"48673","Alexandre Lacazette","66","France","16","4","4","175","73","3","3","Controlled","Unique","ST","84","84","80","90","91","94","81","97","93","80","72","78","86","76","78","84","85","85","86","86","83","45","80","42","48","34","80","72","80","78","170","181","48.433048433048434","86.92999999999998"
"48769","Mauro Icardi","325","Argentina","68","3","4","181","75","2","2","Controlled","Unique","ST","81","67","67","88","90","88","82","81","87","78","51","56","81","58","75","65","76","85","88","84","83","27","90","46","31","23","99","66","84","62","209","216","49.1764705882353","85.27999999999999"
"26951","Dominic Calvert-Lewin","7","England","13","3","2","187","71","3","2","Lengthy","Unique","ST","80","81","95","84","89","83","65","87","85","64","65","54","71","47","64","68","64","79","79","76","76","35","89","38","31","23","91","76","82","78","34","30","53.125","83.00999999999998"
"284","Samuel Eto'o","112658","Cameroon","2118","4","4","179","75","3","2","Controlled","Lean","ST","90","91","91","95","99","93","97","87","95","87","77","84","85","73","81","87","82","97","97","96","93","48","81","56","49","39","97","87","86","79","3165","587","84.35501066098081","93.14"
"285","Samuel Eto'o","112658","Cameroon","2118","4","4","179","75","2","1","Controlled","Lean","ST","87","95","94","95","99","94","86","93","91","82","72","83","83","69","81","98","85","84","86","99","89","38","80","41","39","33","91","86","77","75","2335","278","89.36088786835056","90.76"
"69","Emilio Butragueño Santos","112658","Spain","2118","3","5","168","68","2","1","Explosive","Lean","ST","90","96","96","96","97","94","89","85","87","90","77","75","84","68","79","90","89","92","90","93","89","45","87","39","33","30","94","84","72","60","2188","250","89.74569319114028","91.72000000000001"
"283","Samuel Eto'o","112658","Cameroon","2118","4","4","179","75","3","1","Controlled","Lean","ST","92","99","99","94","96","91","91","90","90","89","85","86","89","76","89","93","91","94","91","98","94","43","83","47","41","36","91","90","80","78","2214","405","84.5360824742268","92.27000000000001"
"67","Emilio Butragueño Santos","112658","Spain","2118","3","5","168","68","2","1","Explosive","Lean","ST","92","99","97","96","99","95","93","87","87","89","75","77","85","62","79","91","90","91","92","93","89","45","88","35","33","30","92","84","69","59","2143","372","85.20874751491053","92.63"
"51671","Eddie Nketiah","1","England","13","4","3","180","73","3","2","Controlled","Lean","ST","89","98","89","94","99","93","82","87","88","78","58","51","90","61","73","93","84","93","95","96","80","33","99","38","33","27","99","95","89","72","2075","350","85.56701030927834","94.41999999999999"
"68","Emilio Butragueño Santos","112658","Spain","2118","3","5","168","67","2","2","Explosive","Lean","ST","87","90","90","98","99","88","80","92","84","81","71","74","80","60","79","96","91","87","89","99","85","44","82","33","33","30","82","80","61","49","1556","211","88.05885681946802","89.74000000000001"
"50225","Emilio Butragueño Santos","112658","Spain","2118","4","5","168","68","2","1","Explosive","Lean","ST","91","98","96","96","98","94","92","86","86","88","75","86","84","62","79","91","90","91","91","92","87","45","87","36","34","32","93","85","70","59","1482","139","91.42504626773596","91.94"
"50313","Daniel James","144","Wales","13","3","4","171","76","3","3","Explosive","Lean","ST","85","99","98","98","99","94","84","78","82","77","81","61","83","66","84","99","95","83","84","97","74","48","58","62","52","39","85","95","61","90","1523","216","87.57906843013225","87.73"
"168","Kenny Dalglish","112658","Scotland","2118","4","5","173","72","3","2","Explosive","Lean","ST","87","97","94","91","99","89","85","99","95","73","76","86","79","54","81","93","88","89","88","88","85","34","78","37","37","36","77","84","63","68","1527","258","85.54621848739495","88.64"
"209","Miroslav Klose","112658","Germany","2118","3","4","184","84","3","2","Controlled","Lean","ST","87","79","75","90","88","79","81","86","87","83","69","75","92","71","79","70","67","89","82","75","90","51","90","22","40","36","99","65","90","63","250","292","46.125461254612546","85.16999999999999"
"29606","Rubén Bentancourt","101110","Uruguay","1003","2","3","184","80","3","2","Controlled","Lean","ST","68","84","82","71","72","67","61","69","71","53","54","57","67","48","54","79","58","60","63","62","60","49","79","39","22","27","85","74","61","48","2","5","28.57142857142857","69.3"
"30508","Adrien Hunou","1530","France","16","3","3","179","70","3","2","Controlled","Lean","ST","69","75","74","71","67","70","66","72","71","61","65","62","71","58","68","74","81","70","75","84","70","49","66","52","63","54","66","70","69","69","1","4","20.0","70.99000000000001"
"33894","Lewis Collins","112254","Wales","61","2","3","178","75","2","2","Explosive","Lean","ST","58","90","90","57","58","54","58","51","50","52","41","50","55","46","52","70","69","57","58","61","57","51","52","37","48","52","60","49","53","36","0","3","0.0","59.34000000000001"
"46696","Jamie McGonigle","445","Northern Ireland","65","2","3","183","77","2","2","Controlled","Lean","ST","60","76","75","59","63","61","59","59","60","56","52","53","56","49","54","60","56","55","60","59","54","39","59","19","29","37","60","56","58","45","0","3","0.0","60.98"
"46715","Aske Sampers","1750","Belgium","4","2","3","184","68","2","2","Controlled","Lean","ST","61","85","84","60","65","57","56","43","68","47","32","31","48","35","38","58","63","56","62","64","46","22","66","18","26","35","69","56","60","35","0","3","0.0","62.50000000000001"
"32657","Daniel Florea","113182","Romania","330","3","3","173","65","2","1","Explosive","Lean","ST","66","85","77","66","67","65","63","59","68","57","52","63","61","55","61","91","90","67","69","67","65","40","67","20","40","50","70","70","52","56","0","2","0.0","66.76"
"36303","Juan Cruz","110404","Argentina","1014","2","3","184","71","2","2","Lengthy","Lean","ST","66","70","73","66","72","66","61","64","66","45","29","48","57","51","37","54","63","59","62","61","57","27","73","24","37","40","71","55","73","53","0","2","0.0","66.69"
"46385","Subha Ghosh","113299","India","2149","2","3","174","70","2","2","Controlled","Lean","ST","51","88","84","48","51","56","34","44","50","40","41","28","40","35","40","72","70","49","52","50","47","34","44","19","31","40","73","45","58","35","0","2","0.0","52.56000000000001"
"51051","Jordon Garrick","561","Jamaica","60","3","3","179","77","3","2","Controlled","Lean","ST","64","88","89","61","64","63","58","56","50","58","60","40","59","44","53","76","72","62","64","67","56","47","60","44","51","52","63","61","66","46","0","2","0.0","64.88000000000001"
"26241","Rudolf Völler","114605","Germany","31","3","4","180","77","3","2","Controlled","Average","ST","91","96","94","92","96","97","88","94","90","88","88","78","83","68","93","95","88","98","91","98","89","44","97","43","45","43","96","93","87","76","4043","567","87.70065075921909","94.00000000000001"
"26239","Diego Forlán","114605","Uruguay","53","4","4","180","75","3","3","Controlled","Average","ST","91","95","93","93","94","95","96","94","92","94","77","89","92","82","85","90","93","91","94","96","92","56","86","61","52","46","81","88","80","68","3588","557","86.56212303980699","92.32"
"26242","Tomas Brolin","114605","Sweden","31","4","3","176","73","3","3","Explosive","Average","ST","89","96","93","90","91","95","91","88","90","92","89","82","92","85","92","93","95","91","93","99","86","55","86","60","58","62","85","81","66","69","3614","650","84.7560975609756","90.57000000000002"
"50148","Moise Kean","45","Italy","31","4","4","182","72","3","2","Controlled","Average","ST","86","90","91","91","96","98","82","79","77","67","55","50","79","53","78","85","88","87","93","96","80","37","92","48","43","36","92","77","99","63","3140","228","93.23040380047506","92.17999999999998"
"53832","Jonathan David","65","Canada","16","4","5","180","77","3","3","Controlled","Average","ST","94","97","99","99","99","93","89","88","90","94","91","72","99","90","80","95","93","92","94","99","98","51","99","44","44","30","99","99","97","48","2757","171","94.15983606557377","96.64000000000001"
"52641","Loïs Openda","64","Belgium","16","3","3","174","78","3","1","Controlled","Average","ST","87","99","99","92","99","92","88","77","93","85","84","53","89","71","64","93","93","91","93","94","83","25","99","45","29","24","99","89","95","84","2463","171","93.50797266514806","94.33000000000001"
"51228","Julián Álvarez","10","Argentina","13","4","5","173","71","3","3","Explosive","Average","ST","92","98","91","95","95","99","98","86","87","88","83","82","88","85","90","92","92","88","90","89","90","50","75","65","58","51","82","88","79","98","2767","527","84.00121432908318","90.6"
